josrosrod_origen,jorosrod_municipio,josrosrod_dia,josrosrod_mes,josrosrod_año,ricmirber_longitud,josrosrod_lat,josrosrod_precio,alvbelnav_iluminacion,davsoreng_duplex,alegarsal_terraza,rafmaralf_baños,luctarcom_orientacion,samartlop_superficie,davroctau_planta,juamarxxx_trastero,robripcon_habitaciones,omapasvac_ascensor,elilopper_distanciaCentro,rauramesc_airecentral,guifue_parking
Fotocasa,Benetuser,16,2,2025,"-0,3950","39,4180",140000,Alta,0,1,1,Sureste,81,1,1,3,1,6,1,0
Fotocasa,Benetuser,16,2,2025,"-0,3980","39,4170",85000,Alta,0,0,1,Este,161,1,0,1,0,7,1,0
Fotocasa,Benetuser,16,2,2025,"-0,3987","39,4149",225000,Alta,0,2,2,Este,179,1,1,3,0,6,1,0
Fotocasa,Benetuser,16,2,2025,"-0,3990","39,4145",129999,Alta,0,0,1,Sur,89,2,0,3,1,6,0,0
Fotocasa,Benetuser,16,2,2025,"-0,3985","39,4133",145000,Baja,0,1,1,Oeste,55,1,0,1,1,6,1,0
Fotocasa,Benetuser,16,2,2025,"0,3950","39,4180",150000,Media,0,1,2,Sur,111,4,0,3,1,6,1,0
Fotocasa,Benetuser,16,2,2025,"-0,3978","39,3230",236000,Alta,0,1,2,Este,218,5,0,4,1,7,1,0
Fotocasa,Benetuser,16,2,2025,"-0,3979","39,4144",139999,Alta,0,1,1,Sur,81,1,0,3,1,6,0,0
Fotocasa,Benetuser,16,2,2025,"-0,3985","39,4146",246000,Alta,0,1,2,Este,130,2,0,2,1,7,1,1
Fotocasa,Benetuser,16,2,2025,"-0,3995","39,4175",150000,Media,0,1,1,Noreste,109,1,1,3,1,6,1,0
Idealista,Paterna,14,2,2025,"-0,3984","39,4827",150.000,Alta,1,0,2,Sur,90,2,1,3,1,8,1,1
Fotocasa,Paterna,14,2,2025,"-0,3753","39,4699",220.000,Media,0,1,1,Este,70,3,0,2,0,5,0,0
Idealista,Paterna,14,2,2025,"-0,4012","39,4785",180.000,Alta,1,1,2,Oeste,100,1,1,4,1,7,1,1
Fotocasa,Paterna,14,2,2025,"-0,3754","39,4690",210.000,Baja,0,0,2,Norte,85,2,0,3,0,10,0,1
Idealista,Paterna,14,2,2025,"-0,3967","39,4823",260.000,Media,1,1,3,Sur,110,3,1,4,1,6,1,1
Fotocasa,Paterna,14,2,2025,"-0,3802","39,4728",195.000,Alta,0,1,1,Este,75,1,0,2,1,9,0,0
Idealista,Paterna,14,2,2025,"-0,3978","39,4791",230.000,Alta,1,0,3,Oeste,120,2,1,5,1,8,1,1
Fotocasa,Paterna,14,2,2025,"-0,3729","39,4603",210.000,Media,0,1,2,Norte,95,1,0,3,1,6,1,0
Idealista,Paterna,14,2,2025,"-0,3990","39,4812",270.000,Baja,1,1,4,Este,130,3,1,5,0,5,1,1
Fotocasa,Paterna,14,2,2025,"-0,3763","39,4736",724.000,Alta,1,1,2,Sur,290,1,1,4,1,10,1,1
Idealista,Ademuz,12,2,2025,"-1,1743","40,0672",5000,Baja,0,0,1,Sur,74,1,0,3,0,"13,1",0,0
Idealista,Gilet,23,6,2024,"-0,3273","39,6781",795000,Alta,0,0,3,Este,430,1,1,4,0,"30,3",1,5
Idealista,Ademuz,30,1,2025,"-1,2873","40,0616",100000,Alta,0,1,2,Este,275,1,1,7,0,"13,2",0,1
Idealista,Gilet,1,1,2024,"-0,3222","39,6827",57120,Media,1,0,1,Sur,153,1,0,3,0,"30,9",0,0
Tempocasa,Valencia,14,2,2025,"-0,3542","39,4745",239000,Alta,0,1,2,Sur,104,3,0,3,1,"2,3",0,0
Tempocasa,Valencia,14,2,2025,"-0,3410","39,4638",415000,Alta,0,1,2,Este,120,1,1,4,1,4,0,1
Fotocasa,L'Eliana,14,2,2025,"-0,5412","39,5574",600000,Alta,1,1,3,Sur,212,1,1,5,0,"22,6",1,1
Fotocasa,Valencia,14,2,2025,"-0,3809","39,4562",350000,Alta,0,0,3,Sur,106,5,0,3,1,2,0,0
Idealista,Picassent,11,2,2025,"-0,4633","39,3595",44500,Media,0,0,1,Sur,136,1,0,2,0,"19,6",0,0
Idealista,Torrent,6,2,2025,"0,4671","39,4396",17000,Baja,0,0,1,Sur,76,4,0,3,0,"12,6",0,0
habitaclia,Burjassot,12,2,2025,"-0,4153","39,5131",145000,Alta,0,0,1,Sur,96,1,0,3,1,"0,8",0,0
habitaclia,Burjassot,27,1,2025,"-0,4187","39,5174",280000,Media,1,1,2,Sur,105,1,1,3,1,"1,6",0,1
habitaclia,Burjassot,5,2,2025,"-0,4141","39,5129",163000,Baja,0,1,1,Este,92,2,0,3,1,"0,6",1,1
habitaclia,Burjassot,13,1,2025,"-0,4131","39,5109",85000,Media,0,1,1,Sur,87,0,1,3,0,"0,35",0,1
habitaclia,Burjassot,20,12,2024,"-0,4174","39,5189",395000,Alta,0,1,2,Sur,216,3,0,4,1,"1,4",1,0
habitaclia,Burjassot,3,1,2025,"-0,4151","39,5106",250000,Baja,0,1,1,Norte,278,0,1,4,0,"0,45",0,0
habitaclia,Burjassot,28,1,2025,"-0,4152","39,5035",150000,Alta,0,1,1,Este,54,4,0,2,0,"2,1",0,0
habitaclia,Burjassot,19,2,2025,"-0,4141","39,5066",125000,Media,0,1,1,Sur,74,2,0,2,1,"0,35",0,0
habitaclia,Burjassot,13,2,2025,"-0,4016","39,5011",239000,Alta,0,1,2,Oeste,136,4,0,2,1,"1,4",1,1
habitaclia,Burjassot,13,2,2025,"-0,4134","39,5067",165000,Media,0,1,1,Este,75,2,0,3,0,"0,29",1,0
Idealista,Benetúser,20,2,2011,"-0,5948","39,4228",180000,Media,0,0,2,Este,107,2,1,2,1,5,1,1
Idealista,Benetúser,20,2,2006,"-0,5948","39,4228",480000,Alta,0,1,4,Oeste,337,0,0,4,0,5,1,1
Fotocasa,Benetúser,20,2,2010,"-0,5948","39,4228",145000,Media,0,0,1,Oeste,55,1,0,1,1,6,1,1
Tucasa,Benetúser,20,2,2007,"-0,5948","39,4228",225000,Alta,1,0,3,Oeste,132,1,0,3,1,5,1,1
Pisos.com,Benetúser,20,2,2002,"-0,5948","39,4228",240000,Alta,1,1,3,Este,140,4,1,4,1,5,1,1
Idealista,Lliria,20,2,1971,"-0,5948","39,6246",285000,Alta,0,1,2,Oeste,108,0,1,2,0,31,1,1
Idealista,Torrefiel,20,2,1971,"-0,3808","39,4969",189000,Baja,1,0,1,Este,82,1,0,3,,3,1,0
Idealista,Torrefiel,20,2,1963,"-0,3808","39,4969",150000,Media,1,0,1,Este,66,3,0,3,1,3,0,0
Idealista,Torrefiel,20,2,1972,"-0,3808","39,4969",194000,baja,0,1,1,Norte,75,0,0,1,0,3,1,0
Tecnocasa,Torrefiel,20,2,2006,"-0,3808","39,4969",340000,media,1,1,1,Sureste,100,4,,3,1,3,1,1
fotocasa,Paiporta,1,2,2025,"-0,4167","39,4250.0",70000,Baja,0,0,1,Norte,60,1,0,1,1,2,1,1
100casas,Paiporta,2,4,2025,"-0,4168","39,4251.0",100000,Media,0,0,2,Oeste,75,2,0,3,1,0,0,0
100casas,Paiporta,3,3,2025,"-0,4169","39,4252.0",200000,Alta,0,0,3,Sud,105,3,0,2,1,6,1,1
100casas,Paiporta,4,6,2025,"-0,4170","39,4253",90000,Baja,0,0,3,Norte,76,2,1,4,0,8,0,0
100casas,Paiporta,5,7,2025,"-0,4171","39,4254",120000,Media,1,0,2,Oeste,77,4,1,3,1,8,1,1
100casas,Paiporta,6,9,2025,"-0,4172","39,4255.0",150000,Baja,1,1,2,Norte,80,4,1,3,1,9,1,1
100casas,Paiporta,7,8,2025,"-0,4173","39,4256.0",220000,Alta,1,1,3,Sur,95,5,0,4,1,12,1,1
100casas,Paiporta,8,10,2025,"-0,4174","39,4257.0",250000,Alta,1,1,4,Sur,100,0,1,6,1,15,0,1
100casas,Paiporta,9,12,2025,"-0,4175","39,4258.0",270000,Media,1,1,4,Este,120,0,1,7,1,17,1,1
100casas,Paiporta,10,1,2025,"-0,4176","39,4259.0",1000000,Alta,1,1,5,Sur,300,0,1,10,1,20,1,1
Idealista,Catarroja,15,2,2025,"-0,3850","39,2510",80.000,Alta,0,1,2,Sur,75,2,1,3,1,6,1,1
Fotocasa,Catarroja,15,2,2024,"-0,4139","39,2510",230.000,Media,1,0,2,Este,100,1,0,3,1,7,1,0
Habitaclia,Catarroja,15,2,2023,"-0,4387","39,2510",140.000,Baja,0,1,1,Oeste,65,3,1,2,0,5,0,1
Pisos.com,Catarroja,15,2,2022,"-0,4388","39,2510",290.000,Alta,1,1,3,Norte,120,2,1,4,1,8,1,1
Idealista,Catarroja,15,2,2021,"-0,4389","39,2510",180.000,Media,0,0,2,Sur,85,1,0,3,1,6,0,0
Habitaclia,Albal,15,2,2020,"-0,4140","39,2510",210.000,Alta,0,1,2,Este,90,3,1,3,1,7,1,1
Fotocasa,Albal,15,2,2019,"-0,4020","39,2510",250.000,Baja,1,0,3,Oeste,110,2,0,4,1,9,1,0
Pisos.com,Albal,15,2,2018,"-0,4241","39,2510",195.000,Media,0,1,2,Norte,100,1,1,3,0,6,1,1
Idealista,Albal,15,2,2025,"-0,4080","39,2510",320.000,Alta,1,1,3,Sur,130,3,1,4,1,8,1,1
Habitaclia,Albal,15,2,2025,"-0,4100","39,2510",170.000,Media,0,0,1,Este,75,0,0,2,0,5,0,0
Idealista,Calicanto,23,1,2025,"-0,5829","39,4297",595.000,Alta,1,1,5,Norte,74,0,0,4,0,"27,3",1,1
Idealista,Torrent,5,2,2025,"-0,4714","39,4321",230.000,Media,0,1,2,Este,162,1,0,3,1,"12,4",0,0
Idealista,Torrent,27,1,2025,"-0,4836","39,4090",1.250.000,Media,1,1,7,Norte,57,0,0,9,0,"14,9",1,1
Fotocasa,Torrent,10,12,2024,"-0,4751","39,4304",249.000,Media,0,1,2,Oeste,116,1,0,3,1,"12,8",1,1
Fotocasa,Valencia,8,1,2025,"-0,3786","39,4556",350.000,Alta,0,0,1,Norte,106,5,0,3,1,"3,2",1,0
Fotocasa,Torrent,12,2,2025,"-0,4707","39,4431",300.000,Alta,0,1,2,Este,163,2,0,4,1,"12,2",1,1
Fotocasa,Torrent,11,11,2024,"-0,5317","39,3993",329.000,Alta,1,1,4,Este,320,0,0,6,0,"32,2",0,1
Fotocasa,Torrent,3,2,2025,"-0,4731","39,4234",490.000,Alta,0,1,3,Sud,147,5,0,5,1,"12,2",1,1
Fotocasa,Torrent,2,2,2025,"-0,4731","39,4223",450.000,Media,1,1,2,Norte,318,0,0,3,0,"11,7",0,1
Fotocasa,Torrent,20,1,2025,"-0,4728","39,3678",525.000,Media,1,1,3,Este,285,0,0,5,0,"12,4",0,1
Pisos.com,Albal,11,2,2025,"-0,4140","39,3940",295.000,Alta,1,1,3,Norte,215,3,0,3,0,10,1,1
Idealista.com,Paterna,11,2,2025,"-0,3600","39,4430",235.000,Media,0,1,2,Norte,145,1,0,4,1,8,1,1
Idealista.com,Sedaví,25,1,2025,"-0,3800","39,4210",110.500,Alta,0,0,1,Sureste,40,0,0,1,1,6,0,0
Idealista.com,Campanar,27,1,2025,"-0,3580","39,5560",579.000,Alta,1,1,2,Norte,129,5,0,2,1,2,1,1
Pisos.com,Godella,17,1,2025,"-0,4140","39,8230",499.000,Media,0,1,3,Sur,239,3,0,5,0,7,1,1
Idealista.com,Ciutat Vella,26,1,2025,"-0,3330","39,4880",4.700.000,Alta,1,1,8,Este,59,4,1,6,1,"0,2",1,1
Pisos.com,Rocafort,16,2,2025,"-0,4450","39,5320",5.000.000,Alta,0,1,11,Sur,12,0,0,8,0,8,1,0
Pisos.com,Los monasterios,15,1,2025,"-0,3410","39,6400",530.000,Media,0,1,3,Norte,224,3,0,4,0,21,1,1
Pisos.com,Rocafort,27,1,2025,"-0,3660","39,7770",1.250.000,Media,0,1,5,Norte,49,0,0,6,0,8,0,0
Pisos.com,Turis,16,2,2025,"-0,7140","39,4010",260.000,Alta,0,1,2,Oeste,212,2,1,4,0,41,0,0
Idealista,Almenara,17,2,2025,"-0,2240","39,7540",123.000,Alta,0,1,2,Sur,136,1,1,3,1,"39,1",0,0
Idealista,Almenara,17,2,2025,"-0,1860","39,7350",197.000,Alta,0,1,1,Sur,106,,0,2,1,"42,4",0,1
Idealista,Benifaraig,22,1,2025,"-0,3840","39,5290",175.000,Media,0,0,2,Norte,125,2,0,4,1,"9,1",1,0
Idealista,Benifaraig,17,2,2025,"-0,3840","39,5290",378.000,Media,0,1,2,Norte,160,2,0,4,0,"9,1",1,0
Idealista,Tavernes Blanques,17,2,2025,"-0,3630","39,5080",170.000,Alta,0,1,1,Norte,89,4,0,3,1,"5,5",0,0
Idealista,Tavernes Blanques,17,1,2025,"-0,3670","39,5080",84.500,Media,0,0,1,Norte,100,2,0,3,1,"5,9",0,0
Idealista,Pobla de Vallbona,3,2,2025,"-0,5520","39,5920",220.000,Alta,1,1,1,Este,117,3,1,3,1,23,1,0
Idealista,Pobla de Vallbona,20,12,2024,"-0,5510","39,5970",85.000,Media,0,1,1,Este,111,0,0,2,0,"23,9",0,0
Milanuncios,Sueca,17,2,2025,"-0,3110","39,2050",65.000,Media,0,0,1,Sur,79,1,0,3,0,"38,7",0,0
Milanuncios,Sueca,13,1,2025,"-0,3130","39,2020",85.000,Baja,0,1,1,Sur,110,0,0,3,0,38,0,0
rosaginer.es,Chilches,17,2,2025,"-0,1610","39,7640",125.000,Medio,0,1,1,Este,58,1,0,2,1,3,0,1
rosaginer.es,Valencia,17,2,2025,"-0,3850","39,4740",210.000,Baja,0,0,1,Sur,61,2,0,2,0,1,0,0
rosaginer.es,Turis,20,2,2025,"-0,6880","39,3260",205.000,Medio,1,1,2,Este,264,2,1,4,0,"7,32",0,1
finqueslliria.es,Lliria,20,2,2025,"-0,6030","39,6250",355.000,Alta,1,1,3,Sureste,320,0,1,4,0,"0,7",0,1
Idealista,Chiva,20,2,2025,"-0,7200","39,4710",198.000,Media,1,1,2,Este,372,2,1,6,0,"0,1",1,0
rosaginer.es,Chilches,20,2,2025,"-0,1610","39,7640",135.000,Medio,0,1,1,Este,57,2,0,2,1,3,1,1
finqueslliria.es,Lliria,20,2,2025,"-0,5950","39,7000",207.999,Alta,0,1,2,,183,0,1,4,0,"8,4",1,1
finqueslliria.es,Lliria,20,2,2025,"-0,6030","39,6910",245.000,Media,2,1,2,Este,307,0,1,4,0,8,1,1
lioncapitalg.com,Valencia,20,2,2025,"-0,3470","39,4580",1.390.000,Alta,1,1,6,Sureste,368,11,1,6,1,"2,8",1,1
alameda10dt.es,Valencia,20,2,2025,"-0,3490","39,4570",1.100.000,Alta,0,1,2,Sureste,109,7,1,1,1,"2,9",1,1
Idealista,Valencia,13,2,2025,"-0,3751","39,4770",1.050.000,Alta,0,0,4,oeste,188,2,0,3,1,"0,7",1,0
Idealista,Valencia,31,1,2025,"-0,3830","39,4715",450.000,Media,0,0,2,Noreste,100,1,0,2,1,"0,5",1,0
Idealista,Valencia,21,1,2025,"-0,3299","39,4780",247.000,Media,0,0,2,Norte,100,1,0,4,1,"4,3",1,0
Idealista,Valencia,12,2,2025,"-0,3649","39,4602",520.000,Media,1,0,2,Norte,122,1,0,3,1,"2,91",1,0
Idealista,Valencia,8,10,2024,"-0,3795","39,4775",289.000,Alta,0,0,1,Este,70,4,1,1,0,"0,5",1,0
Idealista,Valencia,20,1,2025,"-0,3493","39,4614",605.000,Alta,0,0,2,Este,137,6,0,4,1,5,1,1
Idealista,Valencia,21,1,2025,"-0,3925","39,4755",535.000,Alta,0,1,2,Norte,122,3,0,3,1,3,1,1
Idealista,Valencia,11,2,2025,"-0,3570","39,4697",780.000,Alta,0,1,2,Sureste,173,7,0,4,1,"3,29",1,1
Idealista,Bétera,11,2,2025,"-0,4635","39,5922",260.000,Media,0,1,2,Norte,140,0,0,3,0,"0,1",0,0
Idealista,Valencia,10,2,2025,"-0,3268","39,4658",350.000,Alta,0,0,2,Oeste,76,0,0,3,0,"8,62",1,0
Idealista,Torrent,20,2,2025,"-0,4795","39,4345",190.000,Media,0,1,2,Este,100,4,1,4,1,"9,61",0,1
Idealista,Torrent,20,2,2025,"-0,4735","39,4331",172000,Media,0,1,2,Norte,92,0,1,3,1,"8,98",1,0
Idealista,Torrent,20,2,2025,"-0,4798","39,4305",185000,Alta,0,1,1,Sur,50,0,1,1,1,"9,73",1,1
Idealista,Torrent,20,2,2025,"-0,4694","39,4349",126000,Baja,0,1,3,Sur,83,1,0,3,0,"8,67",1,0
Idealista,Torrent,20,2,2025,"-0,4666","39,4245",240000,Alta,0,0,2,Este,94,0,1,3,1,9,1,1
Idealista,Torrent,20,2,2025,"-0,4784","39,4335",230000,Media,0,0,2,Sureste,96,2,1,3,1,"9,46",1,1
Idealista,Torrent,20,2,2025,"-0,4662","39,4399",130000,Baja,0,1,1,Norte,80,0,0,3,0,"8,12",0,0
Idealista,Torrent,20,2,2025,"-0,4735","39,4317",210000,Media,0,1,2,Sureste,100,2,0,2,1,"8,8",1,1
Idealista,Torrent,20,2,2025,"-0,4758","39,4299",128100,Baja,0,0,2,Oeste,106,3,0,4,0,"9,45",0,0
Idealista,Torrent,20,2,2025,"-0,4631","39,4402",75000,Alta,0,0,1,Norte,58,0,0,1,0,"7,6",0,0
IDEALISTA,MISLATA,20,2,2025,"-0,4210","39,4766",105.000,Alta,1,0,2,Norte,100,3,0,3,1,"4,23",0,0
IDEALISTA,MISLATA,20,2,2025,"-0,4191","39,4732",130000,Media,0,0,1,Sur,91,4,1,3,0,"4,15",0,0
IDEALISTA,MISLATA,20,2,2025,"-0,4149","39,4735",149.000,Baja,0,1,1,Sur,75,0,1,3,0,"3,43",0,0
FOTOCASA,MISLATA,20,2,2025,"-0,4278","39,4689",142000,Alta,0,1,1,Norte,89,2,0,3,1,"4,8",0,0
FOTOCASA,MISLATA,20,2,2025,"-0,4150","39,4741",115.000,Alta,0,0,1,Norte,75,1,0,2,1,"3,11",0,0
ALFAMISLATA,MISLATA,20,2,2025,"-0,4154","39,4726",190.000,Media,0,1,1,Norte,100,0,1,3,0,"3,1",0,0
IDEALISTA,MISLATA,5,2,2025,"-0,4183","39,4762",185000,Media,0,1,1,Norte,153,0,0,3,0,"3,09",0,0
IDEALISTA,MISLATA,6,2,2025,"-0,4186","39,4731",180000,Baja,0,0,1,Este,87,2,0,3,1,"3,91",0,0
IDEALISTA,MISLATA,20,2,2025,"-0,4230","39,4776",130000,Media,0,1,1,Sur,100,4,0,2,0,"3,1",0,0
IDEALISTA,MISLATA,20,2,2025,"-0,4123","39,4734",150000,Alta,0,0,1,Sur,150,0,0,2,0,"3,09",0,0